Card1,Card2,High_Card,Pair,Two_Pair,Three_of_a_Kind,Straight,Flush,Full_House,Four_of_a_Kind,Straight_Flush
A,A,0.00000,0.35979,0.39667,0.11774,0.01218,0.01960,0.08548,0.00842,0.00012
A,K,0.19718,0.45572,0.22659,0.04427,0.03302,0.01957,0.02224,0.00126,0.00014
A,Q,0.19485,0.45430,0.22659,0.04427,0.03677,0.01955,0.02224,0.00126,0.00017
A,J,0.19251,0.45288,0.22659,0.04427,0.04053,0.01952,0.02224,0.00126,0.00020
A,T,0.19017,0.45146,0.22659,0.04427,0.04428,0.01952,0.02224,0.00126,0.00020
A,9,0.19765,0.45998,0.22786,0.04454,0.02674,0.01951,0.02224,0.00126,0.00020
A,8,0.19531,0.45856,0.22786,0.04454,0.03050,0.01952,0.02224,0.00126,0.00020
A,7,0.19531,0.45856,0.22786,0.04454,0.03050,0.01952,0.02224,0.00126,0.00020
A,6,0.19765,0.45998,0.22786,0.04454,0.02674,0.01951,0.02224,0.00126,0.00021
A,5,0.19017,0.45146,0.22659,0.04427,0.04428,0.01949,0.02224,0.00126,0.00022
A,4,0.19251,0.45288,0.22659,0.04427,0.04053,0.01952,0.02224,0.00126,0.00020
A,3,0.19485,0.45430,0.22659,0.04427,0.03677,0.01955,0.02224,0.00126,0.00017
A,2,0.19718,0.45572,0.22659,0.04427,0.03302,0.01957,0.02224,0.00126,0.00015
K,K,0.00000,0.35979,0.39667,0.11774,0.01218,0.01960,0.08548,0.00842,0.00012
K,Q,0.19017,0.44720,0.22531,0.04400,0.05009,0.01950,0.02224,0.00126,0.00021
K,J,0.18784,0.44579,0.22531,0.04400,0.05385,0.01948,0.02224,0.00126,0.00024
K,T,0.18550,0.44437,0.22531,0.04400,0.05760,0.01947,0.02224,0.00126,0.00025
K,9,0.19298,0.45288,0.22659,0.04427,0.04006,0.01949,0.02224,0.00126,0.00023
K,8,0.19765,0.45998,0.22786,0.04454,0.02674,0.01951,0.02224,0.00126,0.00021
K,7,0.19531,0.45856,0.22786,0.04454,0.03050,0.01952,0.02224,0.00126,0.00020
K,6,0.19531,0.45856,0.22786,0.04454,0.03050,0.01952,0.02224,0.00126,0.00020
K,5,0.19485,0.45856,0.22786,0.04454,0.03096,0.01952,0.02224,0.00126,0.00020
K,4,0.19718,0.45998,0.22786,0.04454,0.02721,0.01955,0.02224,0.00126,0.00017
K,3,0.19952,0.46140,0.22786,0.04454,0.02345,0.01957,0.02224,0.00126,0.00015
K,2,0.20185,0.46282,0.22786,0.04454,0.01970,0.01960,0.02224,0.00126,0.00012
Q,Q,0.00000,0.35698,0.39596,0.11750,0.01594,0.01955,0.08548,0.00842,0.00017
Q,J,0.18083,0.43727,0.22403,0.04374,0.07092,0.01941,0.02224,0.00126,0.00031
Q,T,0.17849,0.43585,0.22403,0.04374,0.07468,0.01940,0.02224,0.00126,0.00032
Q,9,0.18597,0.44437,0.22531,0.04400,0.05714,0.01942,0.02224,0.00126,0.00030
Q,8,0.19064,0.45146,0.22659,0.04427,0.04382,0.01946,0.02224,0.00126,0.00026
Q,7,0.19531,0.45856,0.22786,0.04454,0.03050,0.01949,0.02224,0.00126,0.00023
Q,6,0.19298,0.45714,0.22786,0.04454,0.03425,0.01949,0.02224,0.00126,0.00023
Q,5,0.19251,0.45714,0.22786,0.04454,0.03472,0.01950,0.02224,0.00126,0.00022
